Modulo;Data;Funcao;Status;Descricao
VBA;05/04/2021 15:52:01;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;05/04/2021 15:52:01;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;05/04/2021 15:52:01;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;05/04/2021 15:52:01;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-HIDRO -05-04.xlsx
VBA;05/04/2021 15:52:02;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;05/04/2021 15:52:02;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;05/04/2021 15:52:02;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;05/04/2021 15:52:02;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;05/04/2021 15:52:02;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO0504\PENDENTES\PASTA 13-HIDRO -05-04.xlsx]
VBA;05/04/2021 15:52:03;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;05/04/2021 15:52:04;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;05/04/2021 15:52:04;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;05/04/2021 15:52:06;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;05/04/2021 15:52:06;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;05/04/2021 15:52:06;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;05/04/2021 15:52:06;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;05/04/2021 15:52:06;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO0504\PENDENTES\PASTA 13-HIDRO -05-04.xlsx]
VBA;05/04/2021 15:53:18;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [06315338020659]
VBA;05/04/2021 15:53:31;MONTA_LAYOUT_FILEUP;Processando;Gerando modelo de layout FILEUP
VBA;05/04/2021 15:53:33;MONTA_LAYOUT_FILEUP;Sucesso;Gerando modelo de layout FILEUP
VBA;05/04/2021 15:54:14;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [06315338020659]
VBA;05/04/2021 15:54:18;IMPORTA_DADOS;Sucesso;Não Existem dados para Expedição
VBA;05/04/2021 15:54:28;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;05/04/2021 15:54:32;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
