Modulo;Data;Funcao;Status;Descricao
VBA;11/05/2021 12:04:54;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;11/05/2021 12:04:54;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 12:04:55;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 12:04:55;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;11/05/2021 12:04:55;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;11/05/2021 12:07:40;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;11/05/2021 12:07:40;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 12:07:40;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 12:07:40;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;11/05/2021 12:07:40;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;11/05/2021 12:09:36;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;11/05/2021 12:09:36;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 12:09:36;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 12:09:36;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;11/05/2021 12:09:36;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;11/05/2021 12:12:07;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;11/05/2021 12:12:07;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 12:12:07;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 12:12:07;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;11/05/2021 12:12:07;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;11/05/2021 12:13:44;15-VLIEMB.Transbordo;Processando;Inicia Copiar
VBA;11/05/2021 14:30:07;15-VLIEMB.Transbordo;Processando;Inicia 15-VLIEMB.Transbordo
VBA;11/05/2021 14:30:07;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;11/05/2021 14:30:07;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;11/05/2021 14:30:07;Move_Pendentes;Processando;Movendo Arquivo TESTE.xlsx
VBA;11/05/2021 14:30:07;15-VLIEMB.Transbordo;Processando;Inicia Tratativa de Arquivo
VBA;11/05/2021 14:30:08;15-VLIEMB.Transbordo;Processando;Inicia Copiar
VBA;11/05/2021 14:30:08;15-VLIEMB.Transbordo;Sucesso;Terminou Copiar
VBA;11/05/2021 14:30:08;15-VLIEMB.Transbordo;Processando;Gravar Arquivos
VBA;11/05/2021 14:30:09;15-VLIEMB.Transbordo;Sucesso;Terminou de Gravar Arquivos
VBA;11/05/2021 14:30:09;15-VLIEMB.Transbordo;Processando;Movendo de Pendentes para Processados
VBA;11/05/2021 14:30:09;15-VLIEMB.Transbordo;Sucesso;Movido de Pendentes para Processados
VBA;11/05/2021 14:30:09;15-VLIEMB.Transbordo;Sucesso;Termina Tratativas do arquivo
VBA;11/05/2021 14:30:09;15-VLIEMB.Transbordo;Sucesso;Termina 15-VLIEMB.Transbordo
