Modulo;Data;Funcao;Status;Descricao
VBA;12/03/2021 11:37:42;11VLI-DES.TRANSBORDO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;12/03/2021 11:37:42;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;12/03/2021 11:37:42;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;12/03/2021 11:37:42;Move_Pendentes;Processando;Movendo Arquivo PASTA 16 - NOVO.xlsx
VBA;12/03/2021 11:37:44;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;12/03/2021 11:37:44;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;12/03/2021 11:37:44;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;12/03/2021 11:37:46;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;12/03/2021 11:37:46;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O COPIAR
VBA;12/03/2021 11:37:47;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O COPIAR
VBA;12/03/2021 11:37:47;11VLI-DES.TRANSBORDO;Processando;INICIANDO FUN플O GRAVAR
VBA;12/03/2021 11:37:48;11VLI-DES.TRANSBORDO;Sucesso;FINALIZANDO FUN플O GRAVAR
VBA;12/03/2021 11:37:48;11VLI-DES.TRANSBORDO;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
