Terminal;Contrato;Cliente;Destino;CNPJ Destino;Mercadoria_generica;Identificador;Serie;Data de carregamento;Faturado em;Peso_bruto;Tara;Peso_liquido;Fluxo;Data_descarga;Numero;Serie;Data_emissao;Chave;Peso_declarado;Peso_descarregado;Peso_utilizado;Cnpj_remetente;Remetente;Municipio_remetente;Cnpj_destinatario;Destinatario;Municipio_destinatario;Data_descarga
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8419370;HFT;22/11/2020 01:09;25/11/2020 10:31;125200;30200;95000;GN29403;08/11/2020 17:48;4289;1;06/11/2020 14:03;NFe51201106315338020659550010000042891497041683;49640;49640;49640;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 17:48
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8419370;HFT;22/11/2020 01:09;25/11/2020 10:31;125200;30200;95000;GN29403;08/11/2020 13:07;4260;1;05/11/2020 14:52;NFe51201106315338020659550010000042601076092011;50620;50620;32725;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 13:07
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8421188;HFT;22/11/2020 00:58;25/11/2020 10:31;125355;29945;95410;GN29722;25/11/2020 04:13;4798;1;23/11/2020 12:43;NFe51201106315338020659550010000047981922115065;47220;47220;46980;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 04:13
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8421188;HFT;22/11/2020 00:58;25/11/2020 10:31;125355;29945;95410;GN29722;25/11/2020 04:42;4795;1;23/11/2020 12:15;NFe51201106315338020659550010000047951867944326;47280;47280;2766;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 04:42
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8421188;HFT;22/11/2020 00:58;25/11/2020 10:31;125355;29945;95410;GN29722;25/11/2020 03:59;4797;1;23/11/2020 12:40;NFe51201106315338020659550010000047971058792446;47360;47360;45664;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 03:59
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8422290;HFT;22/11/2020 01:14;25/11/2020 10:31;124880;30370;94510;GN29403;09/11/2020 00:56;4305;1;07/11/2020 10:21;NFe51201106315338020659550010000043051854549114;50740;50740;50710;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 00:56
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8422290;HFT;22/11/2020 01:14;25/11/2020 10:31;124880;30370;94510;GN29403;09/11/2020 01:24;4274;1;05/11/2020 19:44;NFe51201106315338020659550010000042741165650163;50560;50560;2547;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 01:24
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8422290;HFT;22/11/2020 01:14;25/11/2020 10:31;124880;30370;94510;GN29403;08/11/2020 23:08;4285;1;06/11/2020 11:44;NFe51201106315338020659550010000042851126174813;50200;50200;41253;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;08/11/2020 23:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8443289;HPT;22/11/2020 01:27;25/11/2020 10:31;125160;28740;96420;GN29403;09/11/2020 16:39;4283;1;06/11/2020 10:53;NFe51201106315338020659550010000042831169268653;51020;51020;30377;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 16:39
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8443289;HPT;22/11/2020 01:27;25/11/2020 10:31;125160;28740;96420;GN29403;09/11/2020 15:08;4309;1;07/11/2020 10:50;NFe51201106315338020659550010000043091641672813;50000;50000;49940;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 15:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8443289;HPT;22/11/2020 01:27;25/11/2020 10:31;125160;28740;96420;GN29403;09/11/2020 14:01;4310;1;07/11/2020 10:54;NFe51201106315338020659550010000043101382218136;50340;50340;16103;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 14:01
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8444757;HPT;22/11/2020 00:55;25/11/2020 10:31;125220;28940;96280;GN29722;25/11/2020 03:53;4796;1;23/11/2020 12:34;NFe51201106315338020659550010000047961911346732;47160;47160;47080;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 03:53
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8444757;HPT;22/11/2020 00:55;25/11/2020 10:31;125220;28940;96280;GN29722;25/11/2020 02:08;4786;1;23/11/2020 10:19;NFe51201106315338020659550010000047861500278737;48840;48840;47734;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 02:08
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8444757;HPT;22/11/2020 00:55;25/11/2020 10:31;125220;28940;96280;GN29722;25/11/2020 03:59;4797;1;23/11/2020 12:40;NFe51201106315338020659550010000047971058792446;47360;47360;1466;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;25/11/2020 03:59
TRO - RONDONOPOLIS;COFCO/MILHO/TRO-TGRAO;COFCO INTERNATIONAL BRASIL S.A.;212 - MULTICARGO;02.933.023/0002-65;MILHO;8446784;HPT;22/11/2020 01:26;25/11/2020 10:31;125180;28727;96453;GN29403;09/11/2020 12:27;4299;1;06/11/2020 20:21;NFe51201106315338020659550010000042991044189430;48870;48870;48840;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S.A.;NOVA MUTUM;06.315.338/0206-59;COFCO INTERNATIONAL BRASIL S A;NOVA MUTUM;09/11/2020 12:27
