Modulo;Data;Funcao;Status;Descricao
VBA;08/02/2021 16:58:30;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;08/02/2021 16:58:30;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;08/02/2021 16:58:30;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;08/02/2021 16:58:30;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro tup - 08-02.xlsx
VBA;08/02/2021 16:58:30;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;08/02/2021 16:58:30;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;08/02/2021 16:58:30;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;08/02/2021 16:58:30;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;08/02/2021 16:58:30;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro tup - 08-02.xlsx]
VBA;08/02/2021 16:58:33;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;08/02/2021 16:58:37;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;08/02/2021 16:58:37;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;08/02/2021 16:58:40;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;08/02/2021 16:58:40;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;08/02/2021 16:58:40;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;08/02/2021 16:58:41;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;08/02/2021 16:58:41;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro tup - 08-02.xlsx]
VBA;08/02/2021 16:58:41;IMPORTA_DADOS;Sucesso;Não Existem dados para Recepção
VBA;08/02/2021 16:58:41;GERA_FERRO;Falha;13 - Tipos incompatíveis
VBA;08/02/2021 16:58:44;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;08/02/2021 16:58:44;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
