Modulo;Data;Funcao;Status;Descricao
VBA;03/02/2021 09:05:15;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;03/02/2021 09:05:15;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;03/02/2021 09:05:15;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;03/02/2021 09:05:15;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 01-02 (1).xlsx
VBA;03/02/2021 09:05:15;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;03/02/2021 09:05:15;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;03/02/2021 09:05:15;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;03/02/2021 09:05:15;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;03/02/2021 09:05:15;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
VBA;03/02/2021 09:05:18;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;03/02/2021 09:05:20;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;03/02/2021 09:05:20;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;03/02/2021 09:05:22;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;03/02/2021 09:05:22;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;03/02/2021 09:05:22;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;03/02/2021 09:05:23;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;03/02/2021 09:05:23;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
VBA;03/02/2021 09:05:23;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [063153380211116]
VBA;03/02/2021 09:05:23;MONTA_LAYOUT_FILEUP;Processando;Gerando modelo de layout FILEUP
VBA;03/02/2021 09:05:26;MONTA_LAYOUT_FILEUP;Sucesso;Gerando modelo de layout FILEUP
VBA;03/02/2021 09:05:31;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [063153380211116]
VBA;03/02/2021 09:05:32;IMPORTA_DADOS;Sucesso;Não Existem dados para Expedição
VBA;03/02/2021 09:05:34;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;03/02/2021 09:05:34;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
VBA;03/02/2021 09:12:14;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;03/02/2021 09:12:14;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;03/02/2021 09:12:15;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;03/02/2021 09:12:15;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 01-02 (1).xlsx
VBA;03/02/2021 09:12:15;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;03/02/2021 09:12:15;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;03/02/2021 09:12:15;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;03/02/2021 09:12:15;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;03/02/2021 09:12:15;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
VBA;03/02/2021 09:12:16;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;03/02/2021 09:12:18;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;03/02/2021 09:12:18;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;03/02/2021 09:12:19;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;03/02/2021 09:12:19;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;03/02/2021 09:12:20;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;03/02/2021 09:12:20;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;03/02/2021 09:12:20;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO2\PENDENTES\PASTA 13-hidro - 01-02 (1).xlsx]
