Modulo;Data;Funcao;Status;Descricao
VBA;15/02/2021 14:28:13;AUTOMAÇÃO HIDROVIAS - HIDRO;Processando;INICIANDO PROCESSAMENTO GERAL
VBA;15/02/2021 14:28:13;Move_Pendentes;Processando;Iniciando Processamento de Arquivos
VBA;15/02/2021 14:28:13;Move_Pendentes;Processando;Movendo Arquivos para a pasta Pendentes
VBA;15/02/2021 14:28:13;Move_Pendentes;Processando;Movendo Arquivo PASTA 13-hidro - 15-02.xlsx
VBA;15/02/2021 14:28:13;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;15/02/2021 14:28:13;Move_Pendentes;Falha;76 - Caminho não localizado
VBA;15/02/2021 14:28:13;Move_Pendentes;Falha;52 - Nome ou número de arquivo incorreto
VBA;15/02/2021 14:28:13;ABRE_ARQUIVOS;Processando;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;15/02/2021 14:28:13;IMPORTA_DADOS;Processando;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO4\PENDENTES\PASTA 13-hidro - 15-02.xlsx]
VBA;15/02/2021 14:28:15;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;15/02/2021 14:28:17;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [ETC_Expedição_Hidro]
VBA;15/02/2021 14:28:17;IMPORTA_DADOS;Processando;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;15/02/2021 14:28:19;IMPORTA_DADOS;Sucesso;COPIANDO INFORMAÇÕES DA PLANILHA [TUP_Recepção_Hidro]
VBA;15/02/2021 14:28:19;IMPORTA_DADOS;Processando;EFETUANDO AJUSTES NA PLANILHA
VBA;15/02/2021 14:28:19;IMPORTA_DADOS;Processando;ATUALIZANDO PIVOT TABLES
VBA;15/02/2021 14:28:19;IMPORTA_DADOS;Sucesso;ATUALIZANDO PIVOT TABLES
VBA;15/02/2021 14:28:19;IMPORTA_DADOS;Sucesso;IMPORTANDO INFORMAÇÕES DO ARQUIVO [C:\PROJETOS\GOBI\COFCO\2021\HIDRO4\PENDENTES\PASTA 13-hidro - 15-02.xlsx]
VBA;15/02/2021 14:28:32;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [29332398001036]
VBA;15/02/2021 14:28:32;MONTA_LAYOUT_FILEUP;Processando;Gerando modelo de layout FILEUP
VBA;15/02/2021 14:28:34;MONTA_LAYOUT_FILEUP;Sucesso;Gerando modelo de layout FILEUP
VBA;15/02/2021 14:28:38;GERA_FILEUP;Processando;Gerando PLANILHA PARA O CNPJ [29332398001036]
VBA;15/02/2021 14:28:38;IMPORTA_DADOS;Sucesso;Não Existem dados para Expedição
VBA;15/02/2021 14:28:42;ABRE_ARQUIVOS;Sucesso;MOVENDO ARQUIVOS PARA A PASTA PENDENTES
VBA;15/02/2021 14:28:42;AUTOMAÇÃO HIDROVIAS - HIDRO;Sucesso;FINALIZANDO PROCESSAMENTO GERAL
